STATION,LINENAME,ZIPCODE
1 AV,L,10003
103 ST,BC,10025
103 ST,1,10025
103 ST,6,10029
103 ST-CORONA,7,11368
104 ST,JZ,11418
104 ST,A,11417
110 ST,6,10029
111 ST,J,11418
111 ST,A,11419
111 ST,7,11368
116 ST,BC,10026
116 ST,6,10035
116 ST,23,10026
116 ST-COLUMBIA,1,10027
121 ST,JZ,11418
125 ST,ACBD,10027
125 ST,1,10027
125 ST,456,10035
125 ST,23,10027
135 ST,BC,10030
135 ST,23,10030
137 ST CITY COL,1,10031
138/GRAND CONC,45,10451
14 ST,ACEL,10011
14 ST,FLM123,10011
14 ST,123FLM,10011
14 ST-UNION SQ,LNQR456W,10003
14 ST-UNION SQ,456LNQRW,10003
145 ST,ABCD,10031
145 ST,1,10031
145 ST,3,10037
149/GRAND CONC,245,10451
14TH STREET,1,10011
15 ST-PROSPECT,FG,11215
155 ST,C,10032
155 ST,BD,10039
157 ST,1,10032
161/YANKEE STAD,BD4,10451
161/YANKEE STAD,4BD,10451
163 ST-AMSTERDM,C,10032
167 ST,BD,10456
167 ST,4,10452
168 ST,AC1,10032
168 ST,1AC,10032
169 ST,F,11432
170 ST,BD,10452
170 ST,4,10452
174 ST,25,10459
174-175 STS,BD,10457
175 ST,A,10033
176 ST,4,10453
18 AV,N,11204
18 AV,D,11214
18 AV,F,11218
18 ST,1,10011
181 ST,A,10033
181 ST,1,10033
182-183 STS,BD,10458
183 ST,4,10453
190 ST,A,10040
191 ST,1,10040
2 AV,F,10002
20 AV,N,11204
20 AV,D,11214
207 ST,1,10034
21 ST,G,11101
21 ST-QNSBRIDGE,F,11101
215 ST,1,10034
219 ST,25,10467
225 ST,25,10466
23 ST,NRW,10010
23 ST,CE,10011
23 ST,FM,10011
23 ST,1,10011
23 ST,6,10010
231 ST,1,10463
233 ST,25,10466
238 ST,1,10463
25 AV,D,11214
25 ST,R,11232
28 ST,NRW,10001
28 ST,1,10001
28 ST,6,10016
